Nationality,AverageLeadTime,LodgingRevenue,OtherRevenue,Total_Revenue,Booking_Success_Rate,Service_share,Preference_Count
ABW,131.33,632.17,85.57,717.74,1.0,0.13,1.33
AFG,15.0,205.8,58.0,263.8,1.0,0.19,0.5
AGO,13.36,520.3,101.55,621.85,0.97,0.14,0.52
AIA,0.0,988.0,111.5,1099.5,1.0,0.1,0.0
ALB,85.12,355.64,59.29,414.93,0.88,0.16,0.94
AND,181.0,830.0,69.67,899.67,0.67,0.08,0.67
ARE,21.37,615.07,88.21,703.28,1.0,0.1,0.3
ARG,59.28,378.87,89.36,468.23,0.93,0.16,0.72
ARM,63.1,395.95,192.62,588.57,1.0,0.26,0.4
ASM,198.25,197.81,82.88,280.69,0.75,0.19,1.75
ATA,20.5,262.5,8.0,270.5,1.0,0.03,0.5
ATF,129.25,196.3,32.75,229.05,0.75,0.11,0.75
ATG,12.0,549.0,99.0,648.0,1.0,0.15,0.0
AUS,129.2,335.32,98.43,433.75,0.84,0.19,0.8
AUT,95.14,397.97,90.51,488.48,0.91,0.17,0.67
AZE,63.94,558.68,120.43,679.11,1.0,0.16,0.91
BDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL,88.64,410.5,103.71,514.2,0.91,0.17,0.73
BEN,105.25,334.42,29.62,364.05,0.75,0.07,0.75
BFA,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BGD,15.71,489.59,98.84,588.43,1.0,0.19,0.29
BGR,65.44,394.09,88.83,482.91,0.96,0.17,0.76
BHR,38.2,469.88,71.16,541.04,1.0,0.14,1.2
BIH,40.06,451.21,83.65,534.86,0.94,0.15,0.75
BLR,54.1,514.2,76.19,590.39,0.95,0.14,0.86
BMU,106.0,507.5,67.8,575.3,0.5,0.06,0.0
BOL,21.42,374.17,62.28,436.44,1.0,0.21,0.08
BRA,69.83,369.78,85.91,455.68,0.92,0.17,0.82
BRB,173.4,225.8,25.08,250.88,1.0,0.1,0.0
BWA,81.5,457.7,81.0,538.7,1.0,0.18,0.5
CAF,115.25,362.42,35.5,397.92,1.0,0.15,0.75
CAN,91.84,322.73,75.85,398.57,0.85,0.15,0.8
CHE,81.34,404.01,77.94,481.95,0.93,0.15,0.7
CHL,47.32,336.54,77.75,414.3,0.86,0.16,0.74
CHN,38.66,385.87,50.45,436.33,0.94,0.11,0.77
CIV,32.33,463.53,125.97,589.5,1.0,0.15,1.0
