Country_Code,AverageLeadTime,LodgingRevenue,OtherRevenue,Total_Revenue,Booking_Success_Rate,Service_share,Preference_Count,Continent
ABW,1.524535331,1.422275084,0.150117216,1.197218165,0.558428367,-0.139308103,1.766792857, North America
AFG,-1.024964445,-1.217435727,-0.313567892,-1.079992203,0.558428367,0.953265449,-0.41427157, Asia
AGO,-1.060906847,0.729673708,0.418876303,0.71618168,0.370574707,0.042787489,-0.3617158, Africa
AIA,-1.353705928,3.625263797,0.58622004,3.112334325,0.558428367,-0.685594879,-1.728165802, North America
ALB,0.511792405,-0.28975726,-0.29187207,-0.32184178,-0.192986274,0.406978673,0.741955355, Europe
AND,2.61310796,2.647065734,-0.117296393,2.109878169,-1.507961896,-1.049786063,0.03245247, Europe
ARE,-0.885358896,1.316406812,0.194517966,1.124678926,0.558428367,-0.685594879,-0.939829263, Asia
ARG,-0.054519589,-0.14593738,0.213859202,-0.05445994,0.12010316,0.406978673,0.163841893, South America
ARM,0.029199908,-0.040192932,1.950534002,0.549231067,0.558428367,2.227934593,-0.677050416, Asia
ASM,2.991160665,-1.266902832,0.104875543,-0.99526276,-1.007018802,0.953265449,2.870464012, Oceania
ATA,-0.904425902,-0.866398827,-1.154491192,-1.046381352,0.558428367,-1.960264023,-0.41427157, Antarctica
ATF,1.478949846,-1.276251433,-0.738234158,-1.254317136,-1.007018802,-0.503499287,0.242675547, Antarctica
ATG,-1.090712742,0.907359053,0.375989215,0.847364327,0.558428367,0.224883081,-1.728165802, North America
AUS,1.477854041,-0.41556096,0.366402689,-0.227430406,-0.443457821,0.953265449,0.37406497, Oceania
AUT,0.731391715,-0.027686855,0.233200438,0.047125093,-0.005132614,0.589074265,0.03245247, Europe
AZE,0.047609431,0.967289162,0.736408941,1.003429037,0.558428367,0.406978673,0.663121701, Asia
BDI,-1.353705928,-2.491569659,-1.28903892,-2.403356733,-5.703360308,-2.506550799,-1.728165802, Africa
BEL,0.588937072,0.049887966,0.455204189,0.176150627,-0.005132614,0.589074265,0.190119777, Europe
BEN,0.952963474,-0.421132975,-0.790875957,-0.577083582,-1.007018802,-1.231881655,0.242675547, Africa
BFA,-1.353705928,-2.491569659,-1.28903892,-2.403356733,-5.703360308,-2.506550799,0.899622663, Africa
BGD,-1.009404015,0.539544199,0.37329826,0.548528751,0.558428367,0.953265449,-0.966107147, Asia
BGR,0.08048358,-0.051708428,0.204945415,0.019182939,0.30795682,0.589074265,0.268953431, Europe
BHR,-0.516510953,0.417517086,-0.092236879,0.31079469,0.558428367,0.042787489,1.425180356, Asia
BIH,-0.475747009,0.301928745,0.117825761,0.279792443,0.182721047,0.224883081,0.242675547, Europe
BLR,-0.168044981,0.691907834,-0.007639995,0.558361179,0.245338933,0.042787489,0.531732278, Europe
BMU,0.969400548,0.650427283,-0.148746925,0.482661517,-2.57246597,-1.413977247,-1.728165802, North America
BOL,-0.884263091,-0.175035677,-0.241584857,-0.2139359,0.558428367,1.317456633,-1.517942725, South America
BRA,0.176695253,-0.202214725,0.155835495,-0.117417578,0.057485273,0.589074265,0.426620739, South America
BRB,2.446545609,-1.093613187,-0.867231792,-1.144805962,0.558428367,-0.685594879,-1.728165802, North America
BWA,0.432456127,0.342109159,0.073256827,0.299055976,0.558428367,0.771169857,-0.41427157, Africa
CAF,1.172124462,-0.247781419,-0.691983377,-0.407173208,0.558428367,0.224883081,0.242675547, Africa
CAN,0.659068589,-0.493507249,-0.013358273,-0.403912454,-0.380839934,0.224883081,0.37406497, North America
CHE,0.428949551,0.009707552,0.021792321,0.014367055,0.12010316,0.224883081,0.111286124, Europe
CHL,-0.316636131,-0.408007786,0.018596812,-0.325002203,-0.318222047,0.406978673,0.216397662, South America
CHN,-0.506429547,-0.102599492,-0.44054731,-0.21448772,0.182721047,-0.503499287,0.295231316, Asia
CIV,-0.645158453,0.37820343,0.829583243,0.553896454,0.558428367,0.224883081,0.899622663, Africa
CMR,0.162888111,-0.37946669,-0.090723217,-0.334583804,-0.0677505,0.224883081,-0.151492723, Africa
COD,-0.411313678,1.420479657,0.015064934,1.155430346,-0.318222047,-0.685594879,0.137564008, Africa
COL,-0.21647956,-0.27855132,-0.01033095,-0.228784873,-0.318222047,0.042787489,-0.0201033, South America
COM,-0.383918555,-1.233470746,-0.115109993,-1.033789825,0.558428367,1.681647817,-0.41427157, Africa
CPV,-0.719234867,-0.423176047,-0.405564901,-0.463860165,-0.130368387,-0.503499287,0.347787085, Africa
CRI,-0.87286672,-0.869122923,-0.473511503,-0.845518897,0.182721047,0.042787489,-0.41427157, North America
CUB,0.117740948,0.590744819,0.069724949,0.499416777,0.558428367,-0.503499287,0.137564008, North America
CYM,1.155687388,1.552474484,1.208503282,1.61840727,0.558428367,0.589074265,0.899622663, North America
CYP,-0.250449513,0.023513765,-0.004444486,0.017728141,-0.130368387,0.224883081,-0.151492723, Asia
CZE,0.356626425,0.232835768,0.036256201,0.19947756,0.182721047,0.224883081,-0.151492723, Europe
DEU,1.370026835,-0.403116795,0.109584713,-0.293949791,-0.130368387,0.953265449,-0.046381184, Europe
DMA,1.363890327,-0.18104107,0.039619894,-0.134875154,0.558428367,0.589074265,0.899622663, North America
DNK,0.658191945,0.806505594,0.424258212,0.780042295,0.057485273,0.224883081,0.006174585, Europe
DOM,0.165079721,0.014165163,0.043656326,0.024500476,0.558428367,0.771169857,-0.151492723, North America
DZA,-0.636172852,0.259643348,0.280796697,0.294189927,0.30795682,0.589074265,-0.177770608, Africa
ECU,-0.757149718,-0.08254024,-0.070204688,-0.087819963,-0.130368387,-0.139308103,-0.571938877, South America
EGY,-0.401889756,0.702556572,-0.453665713,0.434001032,-0.506075708,-0.867690471,0.006174585, Africa
ERI,-1.287957631,1.427413719,1.116001719,1.489482068,0.558428367,0.771169857,0.899622663, Africa
ESP,-0.217575365,-0.296877056,-0.017394705,-0.245690629,0.30795682,0.224883081,-0.151492723, Europe
EST,0.452399777,1.698399347,0.237741424,1.447092264,0.370574707,-0.139308103,-0.204048492, Europe
ETH,0.333833682,-0.020071769,0.048029128,-0.001936715,0.558428367,0.589074265,-1.728165802, Africa
FIN,0.161353984,0.3708979,0.096298125,0.329255576,-0.005132614,0.042787489,0.400342855, Europe
FLK,0.224253188,-0.89240156,-1.188128124,-1.07748393,0.558428367,-2.142359615,0.899622663, South America
FRA,0.198392191,-0.12544475,0.455036005,0.034082077,0.12010316,0.953265449,-0.0201033, Europe
FRO,2.415863071,2.077482052,4.446057987,3.009495156,0.558428367,3.320508145,0.899622663, Europe
FSM,-0.849635655,-2.045560872,-1.12085426,-1.991799394,-2.57246597,-1.413977247,2.213516896, Oceania
GAB,-1.097945054,0.352819809,-0.321977125,0.189845794,0.558428367,-1.231881655,-0.860995609, Africa
GBR,0.841410531,-0.139189052,0.124553148,-0.075629759,-0.005132614,0.406978673,0.242675547, Europe
GEO,0.048924397,0.023823321,0.607243122,0.200430704,-0.005132614,0.042787489,-1.255163878, Asia
